"DATE","TITLE","ACTIVITY"
"Jan 14, 2017 07:56","Part 2i - Summary of Contributions and Transfers Received",""

SUMMARY_DATA
"Client_id","Registered_association","Fiscal_period","Total_monetary_contributions-Contributions_from_individuals","Total_non-monetary_contributions-Contributions_from_individuals","Total_contributions-Contributions_from_individuals","Total_number_of_contributors-Contributions_from_individuals","Total_monetary_contributions-Contributions_from_corporations","Total_non-monetary_contributions-Contributions_from_corporations","Total_contributions-Contributions_from_corporations","Total_number_of_contributors-Contributions_from_corporations","Total_monetary_contributions-Contributions_from_trade_unions","Total_non-monetary_contributions-Contributions_from_trade_unions","Total_contributions-Contributions_from_trade_unions","Total_number_of_contributors-Contributions_from_trade_unions","Total_monetary_contributions-Contributions_from_associations","Total_contributions-Contributions_from_associations","Total_number_of_contributors-Contributions_from_associations","Total_monetary_contributions-Total_of_all_contributions","Total_non-monetary_contributions-Total_of_all_contributions","Total_contributions-Total_of_all_contributions","Total_number_of_contributions-Total_of_all_contributions","Total_monetary_transfers-Transfers_received_from_registered_parties","Total_non-monetary_transfers-Transfers_received_from_registered_parties","Total_transfers-Transfers_received_from_registered_parties","Total_monetary_transfers-Transfers_received_from_registered_associations","Total_non-monetary_transfers-Transfers_received_from_registered_associations","Total_transfers-Transfers_received_from_registered_associations","Total_monetary_transfers-Transfers_received_from_candidates","Total_non-monetary_transfers-Transfers_received_from_candidates","Total_transfers-Transfers_received_from_candidates","Total_monetary_transfers-Transfers_received_from_leadership_contestants","Total_transfers-Transfers_received_from_leadership_contestants","Total_monetary_transfers-Transfers_received_from_nomination_contestants","Total_transfers-Transfers_received_from_nomination_contestants","Total_monetary_transfers-Total_transfers_received","Total_non-monetary_transfers-Total_transfers_received","Total_transfers-Total_transfers_received","Total_monetary_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received","Total_non-monetary_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received","Total_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received"
"6918","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2005","17380","","17380","109","2850","","2850","15","","","0","0","","","0","20230","0","20230","124","5610","","5610","","","0","18639.66","","18639.66","","0","","0","24249.66","0","24249.66","44479.66","0","44479.66"
"10653","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2006","25592.5","","25592.5","157","8597.5","","8597.5","30","","","0","0","","","0","34190","0","34190","187","10385.7","","10385.7","","","0","10703.39","","10703.39","","0","","0","21089.09","0","21089.09","55279.09","0","55279.09"
"2959","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2004","2949.23","248.82","3198.05","18","","","0","0","","","0","0","","","0","2949.23","248.82","3198.05","18","","100","100","","","0","258.64","","258.64","","0","","0","258.64","100","358.64","3207.87","348.82","3556.69"
"6555","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2005","2219.06","275.15","2494.21","67","","878.95","878.95","7","","","","","","","","2219.06","1154.1","3373.16","74","","","","","","","","","","","","","","","","","2219.06","1154.1","3373.16"
"10291","Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","2006","710.23","","710.23","18","","","0","0","","","0","0","","","0","710.23","0","710.23","18","1882.69","","1882.69","","","0","1656.99","","1656.99","","0","","0","3539.68","0","3539.68","4249.91","0","4249.91"
"2931","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2004","13350","","13350","75","","","","","","","","","","","","13350","","13350","75","","","","15776.1","1000","","5000","","","","","","","20776.1","1000","21776.1","34126.1","1000","35126.1"
"6898","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2005","45016.5","","45016.5","193","16472","","16472","49","270","","270","1","","","","61758.5","","61758.5","243","6322.36","","6322.36","","","","","","","","","","","6322.36","","6322.36","68080.86","","68080.86"
"10633","Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","2006","1600","","1600","3","","","","","","","","","","","","1600","","1600","3","431.41","","431.41","","","","7000","","7000","","","","","7431.41","","7431.41","9031.41","","9031.41"
"3093","Ancaster--Dundas--Flamborough--Westdale Federal NDP Riding Association","2004","","","0","0","","","0","0","","","0","0","","","0","0","0","0","0","924","","924","","","0","","","0","","0","","0","924","0","924","924","0","924"
"6260","Ancaster--Dundas--Flamborough--Westdale Federal NDP Riding Association","2005","8842.1","","8842.1","64","","","0","0","","","0","0","","","0","8842.1","0","8842.1","64","5285.46","","5285.46","","","0","","","0","","0","","0","5285.46","0","5285.46","14127.56","0","14127.56"
"9997","Ancaster--Dundas--Flamborough--Westdale Federal NDP Riding Association","2006","1200","0","1200","3","0","0","0","0","0","0","0","0","0","0","0","1200","0","1200","3","10727.87","0","10727.87","0","0","0","0","0","0","0","0","0","0","10727.87","0","10727.87","11927.87","0","11927.87"
"3286","Association Bloc Québécois Louis-Saint-Laurent","2004","9650","","9650","83","400","","400","1","","","","","","","","10050","","10050","84","136.79","","136.79","6463.73","","6463.73","825","","825","","","","","7425.52","","7425.52","17475.52","","17475.52"
"6836","Association Bloc Québécois Louis-Saint-Laurent","2005","7080","","7080","75","400","","400","1","","","","","","","","7480","","7480","76","11944.96","","11944.96","8500.18","","8500.18","22.79","","22.79","","","","","20467.93","","20467.93","27947.93","","27947.93"
"10571","Association Bloc Québécois Louis-Saint-Laurent","2006","30579.25","","30579.25","253","9511.2","","9511.2","51","1801.6","","1801.6","3","","","","41892.05","","41892.05","","4805.41","","4805.41","1436.59","","1436.59","1582.15","","1582.15","0","","","","7824.15","","7824.15","49716.2","","49716.2"
"3309","Association de circonscription du Bloc Québécois de Gatineau","2004","7816.67","","7816.67","32","1400","","1400","2","","","","","","","","9216.67","","9216.67","34","5740.25","","5740.25","","","","11.28","","11.28","","","","","5751.53","","5751.53","14968.2","","14968.2"
"6136","Association de circonscription du Bloc Québécois de Gatineau","2005","27956.32","","27956.32","185","370.12","","370.12","2","","","0","0","","","0","28326.44","0","28326.44","187","6554.75","","6554.75","","","0","","","0","","0","","0","6554.75","0","6554.75","34881.19","0","34881.19"
"9873","Association de circonscription du Bloc Québécois de Gatineau","2006","21583.33","","21583.33","109","904","","904","4","","","","","","","","22487.33","","22487.33","113","3973.78","","3973.78","","","","","","","","","","","3973.78","","3973.78","26461.11","","26461.11"
"3285","Association de circonscription du Bloc Québécois de Québec","2004","8254","","8254","103","100","","100","1","","","","","","","","8354","","8354","104","19949","","19949","","","","","","","","","","","19949","","19949","28303","","28303"
"6158","Association de circonscription du Bloc Québécois de Québec","2005","6320","","6320","80","","","","","","","","","","","","6320","","6320","80","16503","","16503","","","","12381.94","","12381.94","","","","","28884.94","","28884.94","35204.94","","35204.94"
"9895","Association de circonscription du Bloc Québécois de Québec","2006","2590","","2590","33","","","","","","","","","","","","2590","","2590","33","13614.74","","13614.74","","","","25500","","25500","","","","","39114.74","","39114.74","41704.74","","41704.74"
"3301","Association de circonscription du Bloc Québécois Montcalm","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6819","Association de circonscription du Bloc Québécois Montcalm","2005","22080","","22080","162","20720","","20720","119","","","","","","","","42800","","42800","281","2956","","2956","","","","","","","","","","","2956","","2956","45756","","45756"
"10554","Association de circonscription du Bloc Québécois Montcalm","2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11034","Association de circonscription NPD de Bas-Richelieu--Nicolet--Bécancour","2005","10","","10","1","","","","","","","","","","","","10","","10","1","","","","","","","","","","","","","","","","","10","","10"
"10884","Association de circonscription NPD de Bas-Richelieu--Nicolet--Bécancour","2006","120","","120","10","","","","","","","","","","","","120","","120","10","","","","","","","","","","","","","","","","","120","","120"
"11037","Association de circonscription NPD de Beauport--Limoilou","2005","296","","296","11","","","","","","","","","","","","296","","296","11","2200","","2200","","","","","","","","","","","2200","","2200","2496","","2496"
"10887","Association de circonscription NPD de Beauport--Limoilou","2006","401","","401","3","","","","","","","","","","","","401","","401","3","","","","","","","395.83","","395.83","","","","","395.83","","395.83","796.83","","796.83"
"6004","Association de circonscription NPD de Berthier--Maskinongé","2004","","","0","0","","","0","0","","","0","0","","","0","0","0","0","0","","","0","","","0","","","0","","0","","0","0","0","0","0","0","0"
"7092","Association de circonscription NPD de Berthier--Maskinongé","2005","35","","35","2","","","","","","","","","","","","35","","35","2","","","","","","","","","","","","","","","","","35","","35"
"10825","Association de circonscription NPD de Berthier--Maskinongé","2006","25","","25","2","","","","","","","","","","","","25","","25","2","","","","","","","","","","","","","","","","","25","","25"
"3914","Association de circonscription NPD de Brome--Missisquoi","2004","70","","70","3","","","0","0","","","0","0","","","0","70","0","70","3","","","0","","","0","252.84","","252.84","","0","","0","252.84","0","252.84","322.84","0","322.84"
"6982","Association de circonscription NPD de Brome--Missisquoi","2005","20","","20","2","","","","","","","","","","","","20","","20","2","","","","","","","","","","","","","","","","","20","","20"
